country,isocode,year,POP,XRAT,Currency_Unit,ppp,cgdp,cc,cg,ci,p,pc,pg,pi,openc,cgnp,y,yEKS,yCPDW,rgdpl,rgdpl2,rgdpch,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,openk,kc,kg,ki,grgdpch,grgdpl2
Guinea-Bissau,GNB,1976,732.707,0.4650628205,CFA Franc BCEAO,0.3139913236,321.50951695,93.073495756,20.085103758,9.50411858,67.515894573,59.119848171,83.71747213,115.49919982,33.207868575,93.435854551,3.8733742655,3.6406179387,3.7591379578,652.50315005,715.3150754,665.93148798,831.67424915,1670.4368031,1794.3116512,,,,864.48110425,90.378775029,125.48992189,25.79141233,13.412262947,5.6160394889,3.2513713931
Guinea-Bissau,GNB,1977,745.228,0.5175990464,CFA Franc BCEAO,0.3188820374,297.80044912,94.70182746,16.11740157,12.478594433,61.607925972,55.285124454,70.848250116,97.657726764,41.906516851,94.965191661,3.2560826614,3.1154880201,3.2083250208,549.05997487,617.63761877,558.24327486,698.33985837,1403.3128047,1552.618398,,,,751.37498053,108.27237257,132.353677,21.185920783,18.100321096,-16.1710649,-13.65516539
Guinea-Bissau,GNB,1978,758.113,0.539058981,CFA Franc BCEAO,0.3358105884,331.70456827,92.550827964,20.037700617,15.959484557,62.295704228,57.468935571,66.211236706,85.370582788,44.142843907,94.592938636,3.2426747444,3.1744068639,3.2159953291,635.57620865,695.69473428,646.22745041,809.74738382,1627.9792946,1752.5975135,,,,784.76614416,89.721987913,117.6023014,23.465282625,20.35506156,15.760902013,12.63801186
Guinea-Bissau,GNB,1979,771.376,0.5239546709,CFA Franc BCEAO,0.3436215612,335.85243821,94.260130471,19.683802608,20.896386329,65.582307078,62.622369098,75.377567924,69.707238436,49.633631308,98.565905551,2.9705352881,2.966784626,2.9658065217,609.25182385,667.56389451,618.98492188,776.90200234,1562.70873,1685.3527266,,,,728.94516678,93.680079917,115.98805323,22.840411809,25.837123738,-4.215625398,-4.043560829
Guinea-Bissau,GNB,1980,788.898,0.5201671211,CFA Franc BCEAO,0.3303498233,325.69450923,90.330883754,22.392432635,16.430960237,63.50840141,51.557437281,78.393669534,108.92411522,54.529465127,94.673044298,2.6786542862,2.5773081694,2.5843327792,495.44023149,535.73942117,505.03309877,634.93495102,1277.7747993,1355.4642914,,,,641.25979728,112.74727704,119.70778464,27.952330929,21.878677677,-18.40946671,-19.74709454
Guinea-Bissau,GNB,1981,807.056,0.5744416267,CFA Franc BCEAO,0.2911168896,434.66307342,94.966157844,18.448640316,11.110661613,50.678237097,37.511123547,78.25488056,117.43201227,46.911725912,98.931923938,3.2189428157,2.9052928936,2.920725055,659.3354005,724.02805639,669.49609517,842.56438871,1694.949926,1833.0074058,,,,786.13880301,73.627203805,116.00207342,21.459111512,13.419403228,32.564795615,35.145562894
Guinea-Bissau,GNB,1982,825.767,0.6133241025,CFA Franc BCEAO,0.3202579709,468.94107757,98.643054755,21.07977838,13.722134688,52.216759383,40.096945027,72.920993385,107.53576506,49.125397994,98.549818813,3.3715988554,3.1527357559,3.1652313353,593.15439457,655.45809348,605.00227859,762.18110509,1536.6990405,1664.8562476,,,,796.97468158,104.93039008,136.0913091,28.04549081,18.675646452,-9.633187862,-9.470622347
Guinea-Bissau,GNB,1983,845.006,0.6476701282,CFA Franc BCEAO,0.3602560885,485.26309894,92.55971621,20.777477673,12.907333953,55.623391104,46.951645736,68.140308206,97.660292499,38.262854666,99.745913787,3.2403500031,3.1127052657,3.1599894481,564.15537466,618.92641653,575.67093865,725.97564105,1468.6739894,1579.0290395,,,,801.81187245,103.01706275,134.02764585,29.33488493,18.611808197,-4.848137103,-5.573457299
Guinea-Bissau,GNB,1984,864.775,1.6086282051,CFA Franc BCEAO,0.5919119423,501.92983332,101.67041043,23.228982268,12.980817787,36.796068877,30.663098355,24.44382186,106.93585298,64.682598668,99.940115931,3.039697101,2.8025105101,2.7425633524,594.05482634,652.67043211,606.79089242,766.00892869,1549.8487006,1667.032966,,,,801.37779484,108.63464132,140.36895852,31.434357203,17.934239666,5.4058580471,5.452023808
Guinea-Bissau,GNB,1985,885.063,2.4502564103,CFA Franc BCEAO,0.8156981771,490.4916652,109.8883253,22.63400356,15.429205089,33.290319075,28.756064148,26.371958462,75.732679229,67.467548357,110.89629135,2.7931446233,2.6646598884,2.6688214671,595.13411554,662.88483488,607.72794184,767.98277331,1557.5951224,1698.9611871,,,,753.87415036,106.21985286,143.86762983,28.919165467,20.086684594,0.1544270745,1.5650169316
